Step 100/500000, Total Loss: 0.3706, Mel Loss: 0.1816, Mel PostNet Loss: 0.1810, Pitch Loss: 0.0033, Energy Loss: 0.0027, Duration Loss: 0.0020
Step 200/500000, Total Loss: 0.3746, Mel Loss: 0.1837, Mel PostNet Loss: 0.1831, Pitch Loss: 0.0029, Energy Loss: 0.0029, Duration Loss: 0.0019
Step 300/500000, Total Loss: 0.4235, Mel Loss: 0.2068, Mel PostNet Loss: 0.2059, Pitch Loss: 0.0037, Energy Loss: 0.0033, Duration Loss: 0.0038
Step 400/500000, Total Loss: 0.4274, Mel Loss: 0.2082, Mel PostNet Loss: 0.2073, Pitch Loss: 0.0042, Energy Loss: 0.0035, Duration Loss: 0.0043
Step 500/500000, Total Loss: 0.4306, Mel Loss: 0.2100, Mel PostNet Loss: 0.2091, Pitch Loss: 0.0041, Energy Loss: 0.0035, Duration Loss: 0.0039
Step 600/500000, Total Loss: 0.3577, Mel Loss: 0.1770, Mel PostNet Loss: 0.1764, Pitch Loss: 0.0016, Energy Loss: 0.0014, Duration Loss: 0.0013
Step 700/500000, Total Loss: 0.3683, Mel Loss: 0.1816, Mel PostNet Loss: 0.1809, Pitch Loss: 0.0020, Energy Loss: 0.0021, Duration Loss: 0.0018
Step 800/500000, Total Loss: 0.4187, Mel Loss: 0.2051, Mel PostNet Loss: 0.2041, Pitch Loss: 0.0035, Energy Loss: 0.0028, Duration Loss: 0.0032
Step 900/500000, Total Loss: 0.4210, Mel Loss: 0.2058, Mel PostNet Loss: 0.2049, Pitch Loss: 0.0037, Energy Loss: 0.0032, Duration Loss: 0.0034
Step 1000/500000, Total Loss: 0.4272, Mel Loss: 0.2087, Mel PostNet Loss: 0.2077, Pitch Loss: 0.0040, Energy Loss: 0.0034, Duration Loss: 0.0033
Step 1100/500000, Total Loss: 0.3930, Mel Loss: 0.1872, Mel PostNet Loss: 0.1865, Pitch Loss: 0.0151, Energy Loss: 0.0024, Duration Loss: 0.0018
Step 1200/500000, Total Loss: 0.3734, Mel Loss: 0.1835, Mel PostNet Loss: 0.1827, Pitch Loss: 0.0031, Energy Loss: 0.0025, Duration Loss: 0.0015
Step 1300/500000, Total Loss: 0.3829, Mel Loss: 0.1877, Mel PostNet Loss: 0.1870, Pitch Loss: 0.0034, Energy Loss: 0.0030, Duration Loss: 0.0018
Step 1400/500000, Total Loss: 0.4406, Mel Loss: 0.2139, Mel PostNet Loss: 0.2130, Pitch Loss: 0.0059, Energy Loss: 0.0044, Duration Loss: 0.0034
Step 1500/500000, Total Loss: 0.4479, Mel Loss: 0.2172, Mel PostNet Loss: 0.2163, Pitch Loss: 0.0058, Energy Loss: 0.0047, Duration Loss: 0.0039
Step 1600/500000, Total Loss: 0.4188, Mel Loss: 0.2024, Mel PostNet Loss: 0.2017, Pitch Loss: 0.0067, Energy Loss: 0.0062, Duration Loss: 0.0018
Step 1700/500000, Total Loss: 0.3920, Mel Loss: 0.1903, Mel PostNet Loss: 0.1896, Pitch Loss: 0.0058, Energy Loss: 0.0043, Duration Loss: 0.0020
Step 1800/500000, Total Loss: 0.4059, Mel Loss: 0.1962, Mel PostNet Loss: 0.1956, Pitch Loss: 0.0064, Energy Loss: 0.0053, Duration Loss: 0.0023
Step 1900/500000, Total Loss: 0.4605, Mel Loss: 0.2207, Mel PostNet Loss: 0.2198, Pitch Loss: 0.0094, Energy Loss: 0.0069, Duration Loss: 0.0038
Step 2000/500000, Total Loss: 0.4528, Mel Loss: 0.2172, Mel PostNet Loss: 0.2163, Pitch Loss: 0.0091, Energy Loss: 0.0062, Duration Loss: 0.0039
Step 2100/500000, Total Loss: 0.4096, Mel Loss: 0.1956, Mel PostNet Loss: 0.1950, Pitch Loss: 0.0084, Energy Loss: 0.0085, Duration Loss: 0.0021
Step 2200/500000, Total Loss: 0.4097, Mel Loss: 0.1965, Mel PostNet Loss: 0.1958, Pitch Loss: 0.0093, Energy Loss: 0.0056, Duration Loss: 0.0024
Step 2300/500000, Total Loss: 0.4205, Mel Loss: 0.2024, Mel PostNet Loss: 0.2016, Pitch Loss: 0.0079, Energy Loss: 0.0059, Duration Loss: 0.0027
Step 2400/500000, Total Loss: 0.4925, Mel Loss: 0.2340, Mel PostNet Loss: 0.2330, Pitch Loss: 0.0123, Energy Loss: 0.0084, Duration Loss: 0.0048
Step 2500/500000, Total Loss: 0.4853, Mel Loss: 0.2293, Mel PostNet Loss: 0.2285, Pitch Loss: 0.0127, Energy Loss: 0.0099, Duration Loss: 0.0050
Step 2600/500000, Total Loss: 0.4955, Mel Loss: 0.2330, Mel PostNet Loss: 0.2321, Pitch Loss: 0.0145, Energy Loss: 0.0105, Duration Loss: 0.0055
Step 2700/500000, Total Loss: 0.4557, Mel Loss: 0.2135, Mel PostNet Loss: 0.2127, Pitch Loss: 0.0134, Energy Loss: 0.0122, Duration Loss: 0.0039
Step 2800/500000, Total Loss: 0.4454, Mel Loss: 0.2101, Mel PostNet Loss: 0.2093, Pitch Loss: 0.0129, Energy Loss: 0.0095, Duration Loss: 0.0037
Step 2900/500000, Total Loss: 0.5045, Mel Loss: 0.2364, Mel PostNet Loss: 0.2355, Pitch Loss: 0.0161, Energy Loss: 0.0110, Duration Loss: 0.0054
Step 3000/500000, Total Loss: 0.5062, Mel Loss: 0.2369, Mel PostNet Loss: 0.2361, Pitch Loss: 0.0169, Energy Loss: 0.0105, Duration Loss: 0.0058
Step 3100/500000, Total Loss: 0.5368, Mel Loss: 0.2470, Mel PostNet Loss: 0.2461, Pitch Loss: 0.0230, Energy Loss: 0.0138, Duration Loss: 0.0069
Step 3200/500000, Total Loss: 0.4825, Mel Loss: 0.2233, Mel PostNet Loss: 0.2227, Pitch Loss: 0.0179, Energy Loss: 0.0141, Duration Loss: 0.0043
Step 3300/500000, Total Loss: 0.4789, Mel Loss: 0.2226, Mel PostNet Loss: 0.2221, Pitch Loss: 0.0179, Energy Loss: 0.0115, Duration Loss: 0.0048
Step 3400/500000, Total Loss: 0.4962, Mel Loss: 0.2325, Mel PostNet Loss: 0.2318, Pitch Loss: 0.0159, Energy Loss: 0.0110, Duration Loss: 0.0050
Step 3500/500000, Total Loss: 0.5388, Mel Loss: 0.2465, Mel PostNet Loss: 0.2457, Pitch Loss: 0.0236, Energy Loss: 0.0157, Duration Loss: 0.0074
Step 3600/500000, Total Loss: 0.5690, Mel Loss: 0.2592, Mel PostNet Loss: 0.2584, Pitch Loss: 0.0253, Energy Loss: 0.0165, Duration Loss: 0.0096
Step 3700/500000, Total Loss: 0.5096, Mel Loss: 0.2337, Mel PostNet Loss: 0.2330, Pitch Loss: 0.0235, Energy Loss: 0.0136, Duration Loss: 0.0057
Step 3800/500000, Total Loss: 0.5332, Mel Loss: 0.2432, Mel PostNet Loss: 0.2425, Pitch Loss: 0.0258, Energy Loss: 0.0146, Duration Loss: 0.0071
Step 3900/500000, Total Loss: 0.5011, Mel Loss: 0.2290, Mel PostNet Loss: 0.2284, Pitch Loss: 0.0237, Energy Loss: 0.0134, Duration Loss: 0.0066
Step 4000/500000, Total Loss: 0.5660, Mel Loss: 0.2568, Mel PostNet Loss: 0.2560, Pitch Loss: 0.0282, Energy Loss: 0.0151, Duration Loss: 0.0098
Step 4100/500000, Total Loss: 0.6169, Mel Loss: 0.2720, Mel PostNet Loss: 0.2710, Pitch Loss: 0.0419, Energy Loss: 0.0204, Duration Loss: 0.0116
Step 4200/500000, Total Loss: 0.5543, Mel Loss: 0.2447, Mel PostNet Loss: 0.2440, Pitch Loss: 0.0454, Energy Loss: 0.0142, Duration Loss: 0.0060
Step 4300/500000, Total Loss: 0.5090, Mel Loss: 0.2340, Mel PostNet Loss: 0.2333, Pitch Loss: 0.0217, Energy Loss: 0.0137, Duration Loss: 0.0063
Step 4400/500000, Total Loss: 0.5032, Mel Loss: 0.2316, Mel PostNet Loss: 0.2309, Pitch Loss: 0.0207, Energy Loss: 0.0135, Duration Loss: 0.0066
Step 4500/500000, Total Loss: 0.5654, Mel Loss: 0.2543, Mel PostNet Loss: 0.2533, Pitch Loss: 0.0338, Energy Loss: 0.0144, Duration Loss: 0.0096
Step 4600/500000, Total Loss: 0.5968, Mel Loss: 0.2683, Mel PostNet Loss: 0.2673, Pitch Loss: 0.0315, Energy Loss: 0.0185, Duration Loss: 0.0112
Step 4700/500000, Total Loss: 0.5919, Mel Loss: 0.2663, Mel PostNet Loss: 0.2653, Pitch Loss: 0.0330, Energy Loss: 0.0169, Duration Loss: 0.0103
Step 4800/500000, Total Loss: 0.4959, Mel Loss: 0.2304, Mel PostNet Loss: 0.2297, Pitch Loss: 0.0196, Energy Loss: 0.0106, Duration Loss: 0.0055
Step 4900/500000, Total Loss: 0.4832, Mel Loss: 0.2245, Mel PostNet Loss: 0.2237, Pitch Loss: 0.0187, Energy Loss: 0.0105, Duration Loss: 0.0059
Step 5000/500000, Total Loss: 0.5516, Mel Loss: 0.2511, Mel PostNet Loss: 0.2502, Pitch Loss: 0.0236, Energy Loss: 0.0180, Duration Loss: 0.0087
Step 5100/500000, Total Loss: 0.5448, Mel Loss: 0.2492, Mel PostNet Loss: 0.2482, Pitch Loss: 0.0241, Energy Loss: 0.0142, Duration Loss: 0.0090
Step 5200/500000, Total Loss: 0.5496, Mel Loss: 0.2500, Mel PostNet Loss: 0.2490, Pitch Loss: 0.0258, Energy Loss: 0.0159, Duration Loss: 0.0090
Step 5300/500000, Total Loss: 0.4719, Mel Loss: 0.2202, Mel PostNet Loss: 0.2195, Pitch Loss: 0.0168, Energy Loss: 0.0103, Duration Loss: 0.0051
Step 5400/500000, Total Loss: 0.4660, Mel Loss: 0.2176, Mel PostNet Loss: 0.2170, Pitch Loss: 0.0168, Energy Loss: 0.0098, Duration Loss: 0.0048
Step 5500/500000, Total Loss: 0.4665, Mel Loss: 0.2193, Mel PostNet Loss: 0.2186, Pitch Loss: 0.0131, Energy Loss: 0.0106, Duration Loss: 0.0050
Step 5600/500000, Total Loss: 0.5456, Mel Loss: 0.2509, Mel PostNet Loss: 0.2500, Pitch Loss: 0.0231, Energy Loss: 0.0136, Duration Loss: 0.0081
Step 5700/500000, Total Loss: 0.5425, Mel Loss: 0.2506, Mel PostNet Loss: 0.2496, Pitch Loss: 0.0202, Energy Loss: 0.0133, Duration Loss: 0.0088
Step 5800/500000, Total Loss: 0.4587, Mel Loss: 0.2162, Mel PostNet Loss: 0.2154, Pitch Loss: 0.0145, Energy Loss: 0.0084, Duration Loss: 0.0042
