Step 100/600000, Total Loss: 29.7486, Mel Loss: 15.2864, Mel PostNet Loss: 11.8239, Pitch Loss: 1.1377, Energy Loss: 1.2311, Duration Loss: 0.2695
Step 200/600000, Total Loss: 18.5786, Mel Loss: 9.5280, Mel PostNet Loss: 7.2553, Pitch Loss: 1.0731, Energy Loss: 0.5453, Duration Loss: 0.1768
Step 300/600000, Total Loss: 8.7101, Mel Loss: 4.0027, Mel PostNet Loss: 3.0643, Pitch Loss: 1.0734, Energy Loss: 0.4195, Duration Loss: 0.1502
Step 400/600000, Total Loss: 5.7225, Mel Loss: 2.1420, Mel PostNet Loss: 1.9827, Pitch Loss: 1.0339, Energy Loss: 0.4362, Duration Loss: 0.1278
Step 500/600000, Total Loss: 4.9274, Mel Loss: 1.5927, Mel PostNet Loss: 1.7432, Pitch Loss: 1.0795, Energy Loss: 0.3859, Duration Loss: 0.1261
Step 600/600000, Total Loss: 4.8242, Mel Loss: 1.3157, Mel PostNet Loss: 1.9882, Pitch Loss: 1.0329, Energy Loss: 0.3869, Duration Loss: 0.1006
Step 700/600000, Total Loss: 4.5836, Mel Loss: 1.2600, Mel PostNet Loss: 1.5632, Pitch Loss: 1.1874, Energy Loss: 0.4545, Duration Loss: 0.1184
Step 800/600000, Total Loss: 3.9890, Mel Loss: 1.1068, Mel PostNet Loss: 1.4260, Pitch Loss: 1.0155, Energy Loss: 0.3282, Duration Loss: 0.1124
Step 900/600000, Total Loss: 3.7406, Mel Loss: 1.0689, Mel PostNet Loss: 1.2362, Pitch Loss: 0.9900, Energy Loss: 0.3411, Duration Loss: 0.1044
Step 1000/600000, Total Loss: 3.8212, Mel Loss: 1.0649, Mel PostNet Loss: 1.2768, Pitch Loss: 1.0558, Energy Loss: 0.3189, Duration Loss: 0.1048
Step 1100/600000, Total Loss: 3.8676, Mel Loss: 1.0598, Mel PostNet Loss: 1.3303, Pitch Loss: 0.9409, Energy Loss: 0.4472, Duration Loss: 0.0895
Step 1200/600000, Total Loss: 3.6459, Mel Loss: 1.0092, Mel PostNet Loss: 1.0789, Pitch Loss: 1.0848, Energy Loss: 0.3820, Duration Loss: 0.0910
Step 1300/600000, Total Loss: 3.7295, Mel Loss: 1.0373, Mel PostNet Loss: 1.1529, Pitch Loss: 1.0693, Energy Loss: 0.3716, Duration Loss: 0.0983
Step 1400/600000, Total Loss: 3.6716, Mel Loss: 0.9691, Mel PostNet Loss: 1.1837, Pitch Loss: 1.0910, Energy Loss: 0.3344, Duration Loss: 0.0935
Step 1500/600000, Total Loss: 3.3508, Mel Loss: 0.9254, Mel PostNet Loss: 0.9680, Pitch Loss: 1.0587, Energy Loss: 0.3091, Duration Loss: 0.0895
Step 1600/600000, Total Loss: 3.2193, Mel Loss: 0.9320, Mel PostNet Loss: 0.9585, Pitch Loss: 0.8972, Energy Loss: 0.3421, Duration Loss: 0.0895
Step 1700/600000, Total Loss: 3.4154, Mel Loss: 0.8711, Mel PostNet Loss: 0.9326, Pitch Loss: 1.1226, Energy Loss: 0.4024, Duration Loss: 0.0866
Step 1800/600000, Total Loss: 3.1893, Mel Loss: 0.9371, Mel PostNet Loss: 0.9716, Pitch Loss: 0.8686, Energy Loss: 0.3255, Duration Loss: 0.0864
Step 1900/600000, Total Loss: 2.9757, Mel Loss: 0.8978, Mel PostNet Loss: 0.9311, Pitch Loss: 0.7513, Energy Loss: 0.3004, Duration Loss: 0.0950
Step 2000/600000, Total Loss: 2.9752, Mel Loss: 0.8373, Mel PostNet Loss: 0.8737, Pitch Loss: 0.8357, Energy Loss: 0.3374, Duration Loss: 0.0911
Step 2100/600000, Total Loss: 2.9745, Mel Loss: 0.8779, Mel PostNet Loss: 0.8913, Pitch Loss: 0.8583, Energy Loss: 0.2680, Duration Loss: 0.0790
Step 2200/600000, Total Loss: 2.9221, Mel Loss: 0.8128, Mel PostNet Loss: 0.8213, Pitch Loss: 0.8576, Energy Loss: 0.3438, Duration Loss: 0.0865
Step 2300/600000, Total Loss: 2.9396, Mel Loss: 0.8331, Mel PostNet Loss: 0.8505, Pitch Loss: 0.7402, Energy Loss: 0.4317, Duration Loss: 0.0841
Step 2400/600000, Total Loss: 2.9149, Mel Loss: 0.8263, Mel PostNet Loss: 0.8444, Pitch Loss: 0.8749, Energy Loss: 0.2859, Duration Loss: 0.0835
Step 2500/600000, Total Loss: 3.0194, Mel Loss: 0.9018, Mel PostNet Loss: 0.8980, Pitch Loss: 0.7845, Energy Loss: 0.3490, Duration Loss: 0.0861
Step 2600/600000, Total Loss: 3.0321, Mel Loss: 0.8655, Mel PostNet Loss: 0.8918, Pitch Loss: 0.8540, Energy Loss: 0.3381, Duration Loss: 0.0828
Step 2700/600000, Total Loss: 2.8400, Mel Loss: 0.7869, Mel PostNet Loss: 0.7914, Pitch Loss: 0.8722, Energy Loss: 0.3038, Duration Loss: 0.0857
Step 2800/600000, Total Loss: 3.0227, Mel Loss: 0.8147, Mel PostNet Loss: 0.8270, Pitch Loss: 0.9684, Energy Loss: 0.3274, Duration Loss: 0.0853
Step 2900/600000, Total Loss: 2.7539, Mel Loss: 0.7832, Mel PostNet Loss: 0.7889, Pitch Loss: 0.8426, Energy Loss: 0.2542, Duration Loss: 0.0850
Step 3000/600000, Total Loss: 2.7405, Mel Loss: 0.7849, Mel PostNet Loss: 0.7862, Pitch Loss: 0.7928, Energy Loss: 0.2898, Duration Loss: 0.0867
Step 3100/600000, Total Loss: 2.7436, Mel Loss: 0.7728, Mel PostNet Loss: 0.7763, Pitch Loss: 0.8141, Energy Loss: 0.2996, Duration Loss: 0.0807
Step 3200/600000, Total Loss: 2.4629, Mel Loss: 0.7427, Mel PostNet Loss: 0.7463, Pitch Loss: 0.6451, Energy Loss: 0.2515, Duration Loss: 0.0773
Step 3300/600000, Total Loss: 2.6718, Mel Loss: 0.8109, Mel PostNet Loss: 0.8088, Pitch Loss: 0.7030, Energy Loss: 0.2617, Duration Loss: 0.0873
Step 3400/600000, Total Loss: 2.8564, Mel Loss: 0.8174, Mel PostNet Loss: 0.8105, Pitch Loss: 0.8392, Energy Loss: 0.3043, Duration Loss: 0.0849
Step 100/600000, Total Loss: 12.8328, Mel Loss: 4.7703, Mel PostNet Loss: 5.5784, Pitch Loss: 1.2565, Energy Loss: 0.9861, Duration Loss: 0.2413
Step 200/600000, Total Loss: 9.3417, Mel Loss: 3.4140, Mel PostNet Loss: 3.8267, Pitch Loss: 1.1803, Energy Loss: 0.7197, Duration Loss: 0.2009
Step 300/600000, Total Loss: 7.1007, Mel Loss: 2.6517, Mel PostNet Loss: 2.7703, Pitch Loss: 1.0199, Energy Loss: 0.4914, Duration Loss: 0.1674
Step 400/600000, Total Loss: 6.4942, Mel Loss: 2.2257, Mel PostNet Loss: 2.4897, Pitch Loss: 1.1277, Energy Loss: 0.4925, Duration Loss: 0.1586
Step 500/600000, Total Loss: 5.8341, Mel Loss: 2.0239, Mel PostNet Loss: 2.1961, Pitch Loss: 1.0626, Energy Loss: 0.4067, Duration Loss: 0.1448
Step 600/600000, Total Loss: 5.7023, Mel Loss: 1.7970, Mel PostNet Loss: 2.3537, Pitch Loss: 1.0204, Energy Loss: 0.3969, Duration Loss: 0.1343
Step 700/600000, Total Loss: 5.4799, Mel Loss: 1.6556, Mel PostNet Loss: 2.1990, Pitch Loss: 0.9971, Energy Loss: 0.4994, Duration Loss: 0.1288
Step 800/600000, Total Loss: 4.4158, Mel Loss: 1.3660, Mel PostNet Loss: 1.5457, Pitch Loss: 1.0167, Energy Loss: 0.3680, Duration Loss: 0.1195
Step 900/600000, Total Loss: 4.4281, Mel Loss: 1.3338, Mel PostNet Loss: 1.5898, Pitch Loss: 0.9840, Energy Loss: 0.4000, Duration Loss: 0.1205
Step 1000/600000, Total Loss: 4.3156, Mel Loss: 1.3075, Mel PostNet Loss: 1.5176, Pitch Loss: 1.0434, Energy Loss: 0.3409, Duration Loss: 0.1063
Step 1100/600000, Total Loss: 4.0045, Mel Loss: 1.1093, Mel PostNet Loss: 1.3022, Pitch Loss: 1.0503, Energy Loss: 0.4347, Duration Loss: 0.1080
Step 1200/600000, Total Loss: 3.9553, Mel Loss: 1.1389, Mel PostNet Loss: 1.2676, Pitch Loss: 0.9958, Energy Loss: 0.4419, Duration Loss: 0.1110
Step 1300/600000, Total Loss: 3.7064, Mel Loss: 1.0790, Mel PostNet Loss: 1.1754, Pitch Loss: 0.9382, Energy Loss: 0.4142, Duration Loss: 0.0996
Step 1400/600000, Total Loss: 3.5011, Mel Loss: 0.9869, Mel PostNet Loss: 1.1299, Pitch Loss: 0.9362, Energy Loss: 0.3449, Duration Loss: 0.1032
